row_id,known_status_count,login_attempts,login_attempts_known_outcome,complete_body_measurements,complete_duration_measurements,pending_at_scoring,timeouts,telemetry_dropped_in_window,interval_fully_observed,insufficient_history,telemetry_defects
1,5,0,0,5,5,0,0,0,False,False,0
2,6,0,0,6,6,0,0,0,False,False,0
3,6,0,0,6,6,0,0,0,False,False,0
4,7,0,0,7,7,0,0,0,False,False,0
5,5,0,0,5,5,0,0,0,False,False,0
6,7,0,0,7,7,0,0,0,False,False,0
7,4,0,0,4,4,0,0,0,False,False,0
8,5,0,0,5,5,0,0,0,False,False,0
9,6,0,0,6,6,0,0,0,False,False,0
10,5,4,4,5,5,0,0,0,False,False,0
11,4,0,0,4,4,0,0,0,False,False,0
12,5,0,0,5,5,0,0,0,False,False,0
13,9,0,0,9,9,0,0,0,False,False,0
14,11,61,10,11,11,0,0,0,False,False,0
15,200,0,0,200,200,0,0,0,False,False,0
16,43,0,0,43,43,0,0,0,False,False,0
17,23,0,0,23,23,0,0,0,False,False,0
18,36,0,0,36,36,0,0,0,False,False,0
19,5,0,0,5,5,0,0,0,False,False,0
20,6,0,0,6,6,0,0,0,False,False,0
21,6,0,0,6,6,0,0,0,False,False,0
22,6,0,0,6,6,0,0,0,False,False,0
23,8,0,0,8,8,0,0,0,False,False,0
24,4,3,3,4,4,0,0,0,False,False,0
25,5,3,3,5,5,0,0,0,False,False,0
26,5,3,3,5,5,0,0,0,False,False,0
27,5,4,4,5,5,0,0,0,False,False,0
28,5,4,4,5,5,0,0,0,False,False,0
29,4,3,3,4,4,0,0,0,False,False,0
30,3,2,2,3,3,0,0,0,False,False,0
31,5,3,3,5,5,0,0,0,False,False,0
32,5,0,0,5,5,0,0,0,False,False,0
33,5,0,0,5,5,0,0,0,False,False,0
34,4,0,0,4,4,0,0,0,False,False,0
35,4,0,0,4,4,0,0,0,False,False,0
36,5,0,0,5,5,0,0,0,False,False,0
37,6,0,0,6,6,0,0,0,False,False,0
38,5,0,0,5,5,0,0,0,False,False,0
39,6,0,0,6,6,0,0,0,False,False,0
40,7,0,0,7,7,0,0,0,False,False,0
41,8,0,0,8,8,0,0,0,False,False,0
42,7,0,0,7,7,0,0,0,False,False,0
43,9,0,0,9,9,0,0,0,False,False,0
44,8,0,0,8,8,0,0,0,False,False,0
45,8,0,0,8,8,0,0,0,False,False,0
46,8,0,0,8,8,0,0,0,False,False,0
47,7,0,0,7,7,0,0,0,False,False,0
48,3,0,0,3,3,0,0,0,False,False,0
49,4,0,0,4,4,0,0,0,False,False,0
50,4,0,0,4,4,0,0,0,False,False,0
51,4,0,0,4,4,0,0,0,False,False,0
52,7,0,0,7,7,0,0,0,False,False,0
53,3,0,0,3,3,0,0,0,False,False,0
54,4,0,0,4,4,0,0,0,False,False,0
55,7,0,0,7,7,0,0,0,False,False,0
56,7,0,0,7,7,0,0,0,False,False,0
57,7,0,0,7,7,0,0,0,False,False,0
58,6,0,0,6,6,0,0,0,False,False,0
59,6,0,0,6,6,0,0,0,False,False,0
60,3,0,0,3,3,0,0,0,False,False,0
61,9,0,0,9,9,0,0,0,False,False,0
62,3,0,0,3,3,0,0,0,False,False,0
63,9,0,0,9,9,0,0,0,False,False,0
64,2,0,0,2,2,0,0,0,False,True,0
65,2,0,0,2,2,0,0,0,False,True,0
66,2,0,0,2,2,0,0,0,False,True,0
67,2,0,0,2,2,0,0,0,False,True,0
68,2,0,0,2,2,0,0,0,False,True,0
