row_id,split,group_key
1,train,part5-fresh|1ad0eceb16be4c1e63b2a6ae
2,train,part5-fresh|1ad0eceb16be4c1e63b2a6ae
3,train,part5-fresh|1ad0eceb16be4c1e63b2a6ae
4,train,part5-fresh|1ad0eceb16be4c1e63b2a6ae
5,val,part5-fresh|52772f94761cc17574fb2da5
6,train,part5-fresh|f7827e09ea5b25cb154b94be
7,train,part5-fresh|93e33ce1e0dccf1753b2efed
8,train,part5-fresh|ef530cf26db974301e340f51
9,val,part5-fresh|4a03389ab3b284f03b2045bd
10,test,part5-fresh|99c8908fb6ab1ecac189ce43
11,train,part5-fresh|6c9749bb31aac49d762ce078
12,train,part5-fresh|71e708460d1da609689090ab
13,train,part5-fresh|fc7c118f38b5b5807541bde7
14,test,part5-fresh|8df5bd541ac28b67812f2d50
15,test,part5-fresh|58881edfdb5ee78be5be53bd
16,val,part5-fresh|c61bb9a2b8ee0e04c398086f
17,train,part5-fresh|281504f4fc05792918189b56
18,val,part5-fresh|a0112e539ab7a6c611234b32
19,test,part5-fresh|044ae00cfb246a3eb75eb85d
20,test,part5-fresh|22184280e63d5ae6552669e1
21,val,part5-fresh|9663e70026470e03ebdaa505
22,val,part5-fresh|cc789cc39f13d23f17ffe8a7
23,test,part5-fresh|f2835334f1edc3d001db3ce9
24,train,part5-fresh|0f70c62cb4613285bf7ae2a1
25,val,part5-fresh|b47310b4ba7a6c0b70565993
26,train,part5-fresh|fc39fb295b742cba75993c65
27,train,part5-fresh|cbd3b7547326ef085bbe43df
28,test,part5-fresh|995c0708887600813285cdc4
29,val,part5-fresh|613c777fef5fb65a4ddc3009
30,train,part5-fresh|6e743313a0ca45c7866f16ac
31,val,part5-fresh|2687177b4c497261cc00e93f
32,test,part5-fresh|f961e1a50c6755d1dfc586c9
33,train,part5-fresh|4784f506e88fab172c1c075c
34,train,part5-fresh|fa92f0ee395b3dd65fea016a
35,train,part5-fresh|62e1fbddbab61dd45a228e96
36,train,part5-fresh|934e4de1bde6bcea78aa87ab
37,train,part5-fresh|be5e5d64ef32bb567b66349f
38,train,part5-fresh|76df2292ae58da496356246a
39,train,part5-fresh|d38a4573a44957bb99d67a0a
40,train,part5-fresh|b949d662cc6037044cc5c036
41,test,part5-fresh|14c0ab4036c0892a396f042c
42,train,part5-fresh|618c9e82eac5a603d107ad36
43,test,part5-fresh|e80a4540c1cf3c043c8a61f0
44,train,part5-fresh|2869a95ef6dd170d6e3df919
45,test,part5-fresh|58d900fca84556d4228a544e
46,val,part5-fresh|bf45d50cc9dc3900da9e34bb
47,train,part5-fresh|4c7079333dd33e87b17292df
48,train,part5-fresh|961705f8e0ca41a6a165d988
49,train,part5-fresh|2d03d8e4617420527b5429ac
50,train,part5-fresh|02ee7fd7989c4ec7e9733c29
51,val,part5-fresh|13b48019c9550c135bd86f38
52,train,part5-fresh|c9d0db096f2de1490552bcff
53,train,part5-fresh|64779ae1f7be4fb0734e5c18
54,test,part5-fresh|957d1b91ab9a085451bda1b8
