row_id,run_id,client_id,window_start,label,scenario,persona,detector_fired,gateway_blocked
1,run2,17dde8cf2afb54d99ab0ac5e,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
2,run2,f41bd4cc7e7e8f66cb5cc455,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
3,run2,ab0cfdaf6eb6c3e773bfacfa,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
4,run2,5ddf743ef23544520e244a98,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
5,run2,5d44bf5aea69f568205ce1a1,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
6,run2,d16dac38dfafc94fb4116549,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
7,run2,00aa36e49fe6181b6afd3e8c,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
8,run2,e9826cf72a65db922595ebda,2026-09-09T07:39:00+00:00,0,benign,browser,0,0
9,run2,ccee71a3d6025b45c633524c,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
10,run2,b0c2aee832fa84239d018de5,2026-09-09T07:39:00+00:00,1,slow_brute_force,slow_brute_force,0,0
11,run2,85f08222aa5e6d7dd52cb5b7,2026-09-09T07:39:00+00:00,1,low_and_slow_enumeration,low_and_slow_enumeration,1,0
12,run2,616fa19d97321021af51bd04,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
13,run2,bdd287258858da63757942d0,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
14,run2,83b59ff12c3cd90b020cb4bf,2026-09-09T07:39:00+00:00,1,credential_stuffing,credential_stuffing,1,1
15,run2,3eb6ab2bead24f6dbcaffb34,2026-09-09T07:39:00+00:00,1,api_flood,api_flood,1,1
16,run2,53c5994836cb3b6c7c2b50bb,2026-09-09T07:39:00+00:00,1,enumeration,enumeration,1,0
17,run2,1fa376de3e6b876b19e90d51,2026-09-09T07:39:00+00:00,1,sqli_probe,sqli_probe,1,0
18,run2,d3b30309cc67bacc71abf70b,2026-09-09T07:39:00+00:00,1,path_traversal,path_traversal,1,0
19,run2,5cd09b0c289144baa4be6a4d,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
20,run2,8f21edcfccb78c694d9da86e,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
21,run2,a375e7eb2c52a1c008a7a88d,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
22,run2,749e96ede19c4287ce8048bf,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
23,run2,bc02eaf538e23f6c5980271d,2026-09-09T07:39:00+00:00,0,benign,shopper,0,0
24,run2,f1ff5ab8939772119e714602,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
25,run2,d6896a3310a9e7b3d084575e,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
26,run2,fc66938eae33f094b47b285e,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
27,run2,68d8e42113d3b619daeef994,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
28,run2,b3e4669774758a43d98ef406,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
29,run2,95a32918d0bf71415898809a,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
30,run2,a21e20fc3d9a0961ae8d2f4d,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
31,run2,e7e3012465a1ec02ccac0cea,2026-09-09T07:39:00+00:00,0,benign,forgetful_user,0,0
32,run2,c2ffcc863534ee8cd4468891,2026-09-09T07:39:00+00:00,0,benign,dead_link_visitor,0,0
33,run2,700535596dbf7e80b8baed77,2026-09-09T07:39:00+00:00,0,benign,dead_link_visitor,0,0
34,run2,a4c0fbe3ec84f7fc67e8d92d,2026-09-09T07:39:00+00:00,0,benign,dead_link_visitor,0,0
35,run2,79a3c284bcbfbfe4ee441972,2026-09-09T07:39:00+00:00,0,benign,dead_link_visitor,0,0
