row_id,split,group_key
1,train,run2|17dde8cf2afb54d99ab0ac5e
2,train,run2|f41bd4cc7e7e8f66cb5cc455
3,train,run2|ab0cfdaf6eb6c3e773bfacfa
4,train,run2|5ddf743ef23544520e244a98
5,train,run2|5d44bf5aea69f568205ce1a1
6,test,run2|d16dac38dfafc94fb4116549
7,test,run2|00aa36e49fe6181b6afd3e8c
8,train,run2|e9826cf72a65db922595ebda
9,train,run2|ccee71a3d6025b45c633524c
10,test,run2|b0c2aee832fa84239d018de5
11,test,run2|85f08222aa5e6d7dd52cb5b7
12,val,run2|616fa19d97321021af51bd04
13,train,run2|bdd287258858da63757942d0
14,test,run2|83b59ff12c3cd90b020cb4bf
15,test,run2|3eb6ab2bead24f6dbcaffb34
16,test,run2|53c5994836cb3b6c7c2b50bb
17,test,run2|1fa376de3e6b876b19e90d51
18,test,run2|d3b30309cc67bacc71abf70b
19,val,run2|5cd09b0c289144baa4be6a4d
20,test,run2|8f21edcfccb78c694d9da86e
21,train,run2|a375e7eb2c52a1c008a7a88d
22,train,run2|749e96ede19c4287ce8048bf
23,test,run2|bc02eaf538e23f6c5980271d
24,val,run2|f1ff5ab8939772119e714602
25,train,run2|d6896a3310a9e7b3d084575e
26,test,run2|fc66938eae33f094b47b285e
27,val,run2|68d8e42113d3b619daeef994
28,train,run2|b3e4669774758a43d98ef406
29,test,run2|95a32918d0bf71415898809a
30,train,run2|a21e20fc3d9a0961ae8d2f4d
31,test,run2|e7e3012465a1ec02ccac0cea
32,train,run2|c2ffcc863534ee8cd4468891
33,train,run2|700535596dbf7e80b8baed77
34,train,run2|a4c0fbe3ec84f7fc67e8d92d
35,train,run2|79a3c284bcbfbfe4ee441972
36,train,run2|5dd149d4bb023ecd9141647d
37,train,run2|7de1010e5abf280a43a8412b
38,train,run2|594ff3863ddda259fe03af8d
39,train,run2|64f8537fac850c8ed5303d3a
40,train,run2|aae4758eef69c562ba8f20e2
41,train,run2|66701efc4e80831fddff5c38
42,val,run2|fb443d0a8d107797e8b5c2e5
43,val,run2|5b22bde7922cc65aec1d8ce4
44,train,run2|187756ad1fb6d383d0f29002
45,train,run2|c373fa08a7b996b23e055285
46,train,run2|4391c6e43c588f977e24f394
47,test,run2|fd8297ed4e9bf1912c19c03a
48,train,run2|76e964463ab4412d1bf504eb
49,train,run2|7fc5f3c32280ebf8756bf781
50,train,run2|02b43d4024aa6aff8f544c4d
51,val,run2|2518ce6a26ecc4102de59bc6
52,train,run2|f758133c50aa885042605865
53,test,run2|8a002e6bb29cfe60345eec5f
54,train,run2|45c8163d85c843e453d1cf71
55,val,run2|d529b775880721b6d8f25be7
56,test,run2|3bf9a4795f09c0e36f4de5c9
57,train,run2|3890db6d79736647867a518c
58,train,run2|478327b4808c93ffb87b7c10
59,val,run2|2082ea83d0ae651fb5283c6c
60,train,run2|fa1ec52e783b05f1495997af
61,test,run2|eeb6492a9d9d0f18488a17b3
62,train,run2|9c79af0132637572f9930fe4
63,train,run2|296c98c4a3be66c41fd5bc9a
64,train,run2|7385ec499b48803ecfa4b23e
65,val,run2|ad8fdd07b286c2665b4188e5
66,test,run2|ee22c40d4afbf7572d4cfc7d
67,train,run2|1a32816dc202d694aba52af9
68,train,run2|6cb6ced710325b2c500f6d73
69,test,run2|95c92111c3ce51fb6c6e3f91
70,test,run2|65f79fe86c414e7c0bd24b12
71,val,run2|aeeb824579c6decb1a2e30f2
72,train,run2|5e676168da528ef97690a269
73,test,run2|dfc13a9159b53b3dd22d99c8
74,train,run2|c5ea148f9922b94a6e4e7226
75,train,run2|227ee6f19a5a92d850e10b00
76,val,run2|e521ef6a5a57b843f70094e2
77,train,run2|cc87bb08afd2a3aef6e16d79
78,train,run2|7c5b81846dd0d9b06cd09abb
79,train,run2|e1b5f042284da20ac7cd8a36
80,train,run2|17dde8cf2afb54d99ab0ac5e
81,train,run2|f41bd4cc7e7e8f66cb5cc455
82,train,run2|ab0cfdaf6eb6c3e773bfacfa
83,train,run2|5ddf743ef23544520e244a98
84,train,run2|5d44bf5aea69f568205ce1a1
85,test,run2|d16dac38dfafc94fb4116549
86,test,run2|00aa36e49fe6181b6afd3e8c
87,train,run2|e9826cf72a65db922595ebda
88,train,run2|ccee71a3d6025b45c633524c
89,test,run2|b0c2aee832fa84239d018de5
90,test,run2|85f08222aa5e6d7dd52cb5b7
91,val,run2|616fa19d97321021af51bd04
92,train,run2|bdd287258858da63757942d0
93,test,run2|83b59ff12c3cd90b020cb4bf
94,test,run2|3eb6ab2bead24f6dbcaffb34
95,test,run2|53c5994836cb3b6c7c2b50bb
96,test,run2|1fa376de3e6b876b19e90d51
97,test,run2|d3b30309cc67bacc71abf70b
98,val,run2|5cd09b0c289144baa4be6a4d
99,test,run2|8f21edcfccb78c694d9da86e
100,train,run2|a375e7eb2c52a1c008a7a88d
101,train,run2|749e96ede19c4287ce8048bf
102,test,run2|bc02eaf538e23f6c5980271d
103,val,run2|f1ff5ab8939772119e714602
104,train,run2|d6896a3310a9e7b3d084575e
105,test,run2|fc66938eae33f094b47b285e
106,val,run2|68d8e42113d3b619daeef994
107,train,run2|b3e4669774758a43d98ef406
108,test,run2|95a32918d0bf71415898809a
109,train,run2|a21e20fc3d9a0961ae8d2f4d
110,test,run2|e7e3012465a1ec02ccac0cea
111,train,run2|c2ffcc863534ee8cd4468891
112,train,run2|700535596dbf7e80b8baed77
113,train,run2|a4c0fbe3ec84f7fc67e8d92d
114,train,run2|79a3c284bcbfbfe4ee441972
115,train,run2|5dd149d4bb023ecd9141647d
116,train,run2|7de1010e5abf280a43a8412b
117,train,run2|594ff3863ddda259fe03af8d
118,train,run2|64f8537fac850c8ed5303d3a
119,train,run2|aae4758eef69c562ba8f20e2
120,train,run2|66701efc4e80831fddff5c38
121,val,run2|fb443d0a8d107797e8b5c2e5
122,val,run2|5b22bde7922cc65aec1d8ce4
123,train,run2|187756ad1fb6d383d0f29002
124,train,run2|c373fa08a7b996b23e055285
125,train,run2|4391c6e43c588f977e24f394
126,test,run2|fd8297ed4e9bf1912c19c03a
127,train,run2|76e964463ab4412d1bf504eb
128,train,run2|7fc5f3c32280ebf8756bf781
129,train,run2|02b43d4024aa6aff8f544c4d
130,val,run2|2518ce6a26ecc4102de59bc6
131,train,run2|f758133c50aa885042605865
132,test,run2|8a002e6bb29cfe60345eec5f
133,train,run2|45c8163d85c843e453d1cf71
134,val,run2|d529b775880721b6d8f25be7
135,test,run2|3bf9a4795f09c0e36f4de5c9
136,train,run2|3890db6d79736647867a518c
137,train,run2|478327b4808c93ffb87b7c10
138,val,run2|2082ea83d0ae651fb5283c6c
139,train,run2|fa1ec52e783b05f1495997af
140,test,run2|eeb6492a9d9d0f18488a17b3
141,train,run2|9c79af0132637572f9930fe4
142,train,run2|296c98c4a3be66c41fd5bc9a
143,train,run2|17dde8cf2afb54d99ab0ac5e
144,train,run2|f41bd4cc7e7e8f66cb5cc455
145,train,run2|ab0cfdaf6eb6c3e773bfacfa
146,train,run2|5ddf743ef23544520e244a98
147,train,run2|5d44bf5aea69f568205ce1a1
148,test,run2|d16dac38dfafc94fb4116549
149,test,run2|00aa36e49fe6181b6afd3e8c
150,train,run2|e9826cf72a65db922595ebda
151,train,run2|ccee71a3d6025b45c633524c
152,test,run2|b0c2aee832fa84239d018de5
153,test,run2|85f08222aa5e6d7dd52cb5b7
154,val,run2|616fa19d97321021af51bd04
155,train,run2|bdd287258858da63757942d0
156,test,run2|83b59ff12c3cd90b020cb4bf
157,test,run2|3eb6ab2bead24f6dbcaffb34
158,test,run2|53c5994836cb3b6c7c2b50bb
159,test,run2|1fa376de3e6b876b19e90d51
160,test,run2|d3b30309cc67bacc71abf70b
161,val,run2|5cd09b0c289144baa4be6a4d
162,test,run2|8f21edcfccb78c694d9da86e
163,train,run2|a375e7eb2c52a1c008a7a88d
164,train,run2|749e96ede19c4287ce8048bf
165,test,run2|bc02eaf538e23f6c5980271d
166,val,run2|f1ff5ab8939772119e714602
167,train,run2|d6896a3310a9e7b3d084575e
168,test,run2|fc66938eae33f094b47b285e
169,val,run2|68d8e42113d3b619daeef994
170,train,run2|b3e4669774758a43d98ef406
171,test,run2|95a32918d0bf71415898809a
172,train,run2|a21e20fc3d9a0961ae8d2f4d
173,test,run2|e7e3012465a1ec02ccac0cea
174,train,run2|c2ffcc863534ee8cd4468891
175,train,run2|700535596dbf7e80b8baed77
176,train,run2|a4c0fbe3ec84f7fc67e8d92d
177,train,run2|79a3c284bcbfbfe4ee441972
178,train,run2|5dd149d4bb023ecd9141647d
179,train,run2|7de1010e5abf280a43a8412b
180,train,run2|594ff3863ddda259fe03af8d
181,train,run2|64f8537fac850c8ed5303d3a
182,train,run2|aae4758eef69c562ba8f20e2
183,train,run2|66701efc4e80831fddff5c38
184,val,run2|fb443d0a8d107797e8b5c2e5
185,val,run2|5b22bde7922cc65aec1d8ce4
186,train,run2|187756ad1fb6d383d0f29002
187,train,run2|c373fa08a7b996b23e055285
188,train,run2|4391c6e43c588f977e24f394
189,test,run2|fd8297ed4e9bf1912c19c03a
190,train,run2|76e964463ab4412d1bf504eb
191,train,run2|7fc5f3c32280ebf8756bf781
192,train,run2|02b43d4024aa6aff8f544c4d
