row_id,run_id,ip,window_start,label,scenario
1,run1,142.251.222.177,2026-09-07T06:12:00+00:00,0,benign
2,run1,203.0.113.10,2026-09-07T06:13:00+00:00,0,benign
3,run1,203.0.113.11,2026-09-07T06:13:00+00:00,0,benign
4,run1,203.0.113.12,2026-09-07T06:13:00+00:00,0,benign
5,run1,203.0.113.13,2026-09-07T06:13:00+00:00,0,benign
6,run1,203.0.113.14,2026-09-07T06:13:00+00:00,0,benign
7,run1,203.0.113.15,2026-09-07T06:13:00+00:00,0,benign
8,run1,203.0.113.16,2026-09-07T06:13:00+00:00,0,benign
9,run1,203.0.113.17,2026-09-07T06:13:00+00:00,0,benign
10,run1,203.0.113.18,2026-09-07T06:13:00+00:00,0,benign
11,run1,203.0.113.180,2026-09-07T06:13:00+00:00,1,slow_brute_force
12,run1,203.0.113.181,2026-09-07T06:13:00+00:00,1,low_and_slow_enumeration
13,run1,203.0.113.19,2026-09-07T06:13:00+00:00,0,benign
14,run1,203.0.113.20,2026-09-07T06:13:00+00:00,0,benign
15,run1,203.0.113.200,2026-09-07T06:13:00+00:00,1,credential_stuffing
16,run1,203.0.113.201,2026-09-07T06:13:00+00:00,1,api_flood
17,run1,203.0.113.202,2026-09-07T06:13:00+00:00,1,enumeration
18,run1,203.0.113.203,2026-09-07T06:13:00+00:00,1,sqli_probe
19,run1,203.0.113.204,2026-09-07T06:13:00+00:00,1,path_traversal
20,run1,203.0.113.21,2026-09-07T06:13:00+00:00,0,benign
21,run1,203.0.113.22,2026-09-07T06:13:00+00:00,0,benign
22,run1,203.0.113.23,2026-09-07T06:13:00+00:00,0,benign
23,run1,203.0.113.24,2026-09-07T06:13:00+00:00,0,benign
24,run1,203.0.113.25,2026-09-07T06:13:00+00:00,0,benign
25,run1,203.0.113.26,2026-09-07T06:13:00+00:00,0,benign
26,run1,203.0.113.27,2026-09-07T06:13:00+00:00,0,benign
27,run1,203.0.113.10,2026-09-07T06:14:00+00:00,0,benign
28,run1,203.0.113.11,2026-09-07T06:14:00+00:00,0,benign
29,run1,203.0.113.12,2026-09-07T06:14:00+00:00,0,benign
30,run1,203.0.113.13,2026-09-07T06:14:00+00:00,0,benign
31,run1,203.0.113.14,2026-09-07T06:14:00+00:00,0,benign
32,run1,203.0.113.15,2026-09-07T06:14:00+00:00,0,benign
33,run1,203.0.113.16,2026-09-07T06:14:00+00:00,0,benign
34,run1,203.0.113.17,2026-09-07T06:14:00+00:00,0,benign
35,run1,203.0.113.18,2026-09-07T06:14:00+00:00,0,benign
36,run1,203.0.113.180,2026-09-07T06:14:00+00:00,1,slow_brute_force
37,run1,203.0.113.181,2026-09-07T06:14:00+00:00,1,low_and_slow_enumeration
38,run1,203.0.113.19,2026-09-07T06:14:00+00:00,0,benign
39,run1,203.0.113.20,2026-09-07T06:14:00+00:00,0,benign
40,run1,203.0.113.200,2026-09-07T06:14:00+00:00,1,credential_stuffing
41,run1,203.0.113.201,2026-09-07T06:14:00+00:00,1,api_flood
42,run1,203.0.113.202,2026-09-07T06:14:00+00:00,1,enumeration
43,run1,203.0.113.203,2026-09-07T06:14:00+00:00,1,sqli_probe
44,run1,203.0.113.204,2026-09-07T06:14:00+00:00,1,path_traversal
45,run1,203.0.113.21,2026-09-07T06:14:00+00:00,0,benign
46,run1,203.0.113.22,2026-09-07T06:14:00+00:00,0,benign
47,run1,203.0.113.23,2026-09-07T06:14:00+00:00,0,benign
48,run1,203.0.113.10,2026-09-07T06:15:00+00:00,0,benign
49,run1,203.0.113.11,2026-09-07T06:15:00+00:00,0,benign
50,run1,203.0.113.12,2026-09-07T06:15:00+00:00,0,benign
51,run1,203.0.113.13,2026-09-07T06:15:00+00:00,0,benign
52,run1,203.0.113.14,2026-09-07T06:15:00+00:00,0,benign
53,run1,203.0.113.15,2026-09-07T06:15:00+00:00,0,benign
54,run1,203.0.113.16,2026-09-07T06:15:00+00:00,0,benign
55,run1,203.0.113.17,2026-09-07T06:15:00+00:00,0,benign
56,run1,203.0.113.18,2026-09-07T06:15:00+00:00,0,benign
